timestamp;left_pos_x;left_pos_y;left_pos_z;left_rot_x;left_rot_y;left_rot_z;left_rot_w;right_pos_x;right_pos_y;right_pos_z;right_rot_x;right_rot_y;right_rot_z;right_rot_w;obj_pos_x;obj_pos_y;obj_pos_z;obj_rot_x;obj_rot_y;obj_rot_z;obj_rot_w
34;-0,09263358;0,2722581;0,1852459;-0,6139764;-0,08289143;0,1332956;0,7735595;0,2031073;0,2401346;0,1964337;-0,4177749;0,05773861;-0,2578037;0,8692915;-0,0004806888;-0,09780178;0,1860109;0,1305968;-0,1128443;0,005268559;0,9849786
35;-0,08793567;0,2754345;0,1960145;-0,5763215;-0,05999501;0,1244318;0,8054632;0,1970533;0,2428933;0,2000559;-0,4085002;0,05122571;-0,2494954;0,8765019;-0,0004757774;-0,09817103;0,186821;0,1307941;-0,1155413;0,005121532;0,9846405
36;-0,08314736;0,2764829;0,2042085;-0,5559432;-0,05196249;0,1079122;0,8225461;0,1918356;0,2443088;0,2034191;-0,4019923;0,04642829;-0,2426147;0,8816943;-0,0004717374;-0,09847477;0,1874874;0,1309555;-0,1177563;0,005000717;0,9843572
37;-0,07857525;0,2756745;0,2098631;-0,5445031;-0,03052601;0,08786806;0,8335849;0,1877458;0,2446204;0,2067654;-0,388224;0,05153736;-0,2347179;0,8896817;-0,0004674271;-0,09879883;0,1881983;0,1311266;-0,1201154;0,004871979;0,98405
38;-0,07470497;0,2748949;0,2132103;-0,5504081;-0,01132383;0,07824323;0,8311443;0,1843161;0,244664;0,2084728;-0,3857762;0,06425438;-0,2228973;0,8929529;-0,0004629383;-0,09913632;0,1889387;0,1313038;-0,1225683;0,004738054;0,9837245
39;-0,07122122;0,2749336;0,2165425;-0,5522969;-0,01226131;0,06724997;0,8308401;0,1798933;0,2451725;0,2088953;-0,3827452;0,03880643;-0,2206454;0,8962789;-0,0004583884;-0,09947839;0,1896892;0,1314824;-0,1250505;0,004602463;0,9833888
40;-0,06798425;0,2757264;0,2209004;-0,5411074;-0,006312962;0,05773714;0,8389454;0,1776567;0,244912;0,2089322;-0,3795042;0,0276945;-0,2231725;0,8974428;-0,0004539147;-0,09981473;0,1904271;0,1316569;-0,1274865;0,004469316;0,9830533
41;-0,06439219;0,2770234;0,2273088;-0,5104421;0,01007857;0,04933688;0,8584365;0,1764532;0,2443755;0,2087428;-0,3763308;0,03588765;-0,2202748;0,8992031;-0,0004490488;-0,1001806;0,1912297;0,1318455;-0,1301318;0,004324657;0,9826819
42;-0,05949833;0,2780256;0,2369177;-0,4592998;0,01549437;0,02862032;0,8876849;0,1749045;0,2436188;0,2083522;-0,3772005;0,03033715;-0,2177826;0,8996501;-0,0004448619;-0,1004954;0,1919203;0,1320069;-0,1324037;0,00420035;0,9823573
43;-0,05332157;0,2777019;0,248568;-0,383849;0,0324171;0,003389731;0,9228204;0,173905;0,2427212;0,2087705;-0,3737104;0,03023814;-0,2175316;0,9011694;-0,0004405274;-0,1008212;0,1926352;0,1321729;-0,1347519;0,004071801;0,9820161
44;-0,04798771;0,2754308;0,2585447;-0,309271;0,04798696;-0,01481732;0,9496468;0,1732326;0,2420083;0,2098245;-0,3686384;0,03321391;-0,2145496;0,9038645;-0,0004353539;-0,1012102;0,1934885;0,1323698;-0,1375496;0,003918567;0,9816023
45;-0,04510301;0,2744036;0,2624139;-0,2904417;0,03736523;-0,02641874;0,9557979;0,1732503;0,2414446;0,2109286;-0,3631142;0,03569728;-0,2144706;0,9060222;-0,0004314585;-0,1015031;0,194131;0,1325172;-0,1396523;0,003803334;0,9812859
46;-0,04479076;0,2753358;0,2627217;-0,2899815;0,03947363;-0,01363488;0,9561206;0,1739531;0,2412671;0,210853;-0,3633746;0,03475246;-0,2165367;0,9054629;-0,0004274048;-0,1018078;0,1947996;0,1326697;-0,1418373;0,003683543;0,9809523
47;-0,04602757;0,2765265;0,2587148;-0,3074086;0,02999708;-0,005566715;0,9510884;0,174606;0,2410191;0,2110442;-0,3623801;0,03318027;-0,2163804;0,9059577;-0,0004225563;-0,1021724;0,1955994;0,132851;-0,1444459;0,003540447;0,9805476
48;-0,04907518;0,2785678;0,2545383;-0,3308974;0,02085851;0,01493779;0,9433179;0,17552;0,2405608;0,2115534;-0,3607416;0,03230891;-0,2165258;0,906608;-0,0004184124;-0,1024839;0,1962828;0,1330049;-0,1466714;0,003418298;0,9801967
49;-0,05319197;0,2811439;0,2485442;-0,3712849;0,008223318;0,03127475;0,9279557;0,1765872;0,2401736;0,2119619;-0,3608763;0,03304012;-0,217402;0,9063184;-0,0004140415;-0,1028125;0,1970038;0,1331664;-0,1490152;0,003289598;0,9798216
50;-0,05606109;0,2818632;0,2423395;-0,4158616;-0,01279899;0,03659646;0,9086011;0,1789912;0,2388038;0,2140659;-0,3542773;0,03519656;-0,2176072;0,9087881;-0,000409532;-0,1031516;0,1977476;0,133332;-0,1514288;0,003156998;0,9794294
51;-0,05670276;0,2824355;0,2400336;-0,435068;-0,03801325;0,03430295;0,8989406;0,1798282;0,238093;0,2151818;-0,3492373;0,03090829;-0,2152095;0,9114619;-0,0004049211;-0,1034982;0,1985081;0,1335002;-0,1538924;0,003021579;0,9790229
52;-0,05897649;0,2819364;0,2388636;-0,437432;-0,05307524;0,04943426;0,8963217;0,1813047;0,2373005;0,2151062;-0,348416;0,02846041;-0,2197258;0,9107782;-0,0004004612;-0,1038335;0,1992437;0,1336619;-0,156271;0,002890764;0,9786243
53;-0,06161308;0,2797684;0,2374813;-0,4605846;-0,02203666;0,09423456;0,8823243;0,1824593;0,2364767;0,2151508;-0,3441933;0,0261156;-0,2236212;0,9115056;-0,000395422;-0,1042124;0,2000749;0,1338434;-0,1589533;0,002743161;0,9781678
54;-0,06189587;0,2759866;0,2425724;-0,4507834;-0,01416115;0,1074834;0,8860255;0,1832706;0,2352995;0,2149153;-0,3404475;0,02284074;-0,2246805;0,912739;-0,0003913975;-0,104515;0,2007387;0,1339875;-0,1610919;0,00262542;0,9777985
55;-0,06093902;0,2710091;0,2524607;-0,407875;-0,02722673;0,111796;0,9057584;0,1849256;0,2335179;0,2143114;-0,3396442;0,02295037;-0,2310004;0,9114571;-0,0003871164;-0,1048368;0,2014448;0,1341398;-0,1633627;0,002500338;0,9774011
56;-0,05727533;0,2620086;0,2667106;-0,3312531;-0,00888392;0,1256018;0,9351025;0,1856202;0,2312898;0,2148602;-0,3351682;0,02069456;-0,2298172;0,9134649;-0,0003826796;-0,1051704;0,2021766;0,1342967;-0,1657122;0,00237086;0,9769843
57;-0,04796838;0,248577;0,2823656;-0,2478512;0,0192225;0,09016547;0,9644016;0,1846875;0,2281173;0,2180043;-0,3231527;0,01965932;-0,2143589;0,9215401;-0,0003780184;-0,1055209;0,2029455;0,1344604;-0,168176;0,00223501;0,976541
58;-0,04201277;0,2352932;0,2908256;-0,2212335;0,02135179;0,05669988;0,9733371;0,1802606;0,2234774;0,2257239;-0,2815119;-0,0001356753;-0,1873546;0,9410894;-0,0003736081;-0,1058524;0,2036729;0,1346144;-0,1705028;0,002106645;0,9761165
59;-0,03895861;0,2232758;0,2982868;-0,1896319;0,03827597;0,06695911;0,9788213;0,1770173;0,2184721;0,2325889;-0,2470703;-0,002762271;-0,1672023;0,954459;-0,0003688483;-0,1062103;0,204458;0,1347794;-0,1730095;0,001968285;0,9756528
60;-0,03453565;0,2126301;0,306599;-0,1384261;0,05395223;0,06261221;0,986918;0,177435;0,2136797;0,2365823;-0,2487537;0,01349389;-0,1588683;0,9553536;-0,0003645569;-0,1065329;0,2051658;0,1349273;-0,1752651;0,001843718;0,9752299
61;-0,03230352;0,2040994;0,3120357;-0,1022469;0,04443489;0,04989473;0,9925128;0,176267;0,2091302;0,2420329;-0,2351599;0,01535554;-0,1399997;0,9616986;-0,0003603608;-0,1068484;0,2058579;0,135071;-0,177467;0,001722062;0,974812
62;-0,03356739;0,2000554;0,3146598;-0,1004904;0,03758311;0,0714015;0,9916607;0,1748808;0,2056482;0,2463651;-0,2190737;0,00652669;-0,1278897;0,9672685;-0,0003559196;-0,1071823;0,2065905;0,1352221;-0,1797934;0,001593457;0,9743648
63;-0,03243132;0,1961114;0,317436;-0,07643192;0,05799021;0,08646952;0,9916241;0,1783099;0,2029918;0,2478433;-0,22083;0,01795372;-0,1428351;0,9646294;-0,0003513535;-0,1075256;0,2073436;0,1353764;-0,1821806;0,001461428;0,9739001
64;-0,03023815;0,1933488;0,3188992;-0,062525;0,05958832;0,07080225;0,9937439;0,179402;0,200443;0,2503051;-0,2145617;0,02619858;-0,1369036;0,9667132;-0,0003468728;-0,1078625;0,2080827;0,1355269;-0,1845192;0,001332022;0,973439
65;-0,03189035;0,1947355;0,3177666;-0,09360027;0,03453257;0,07238471;0,9923744;0,1796801;0,1989063;0,2507414;-0,2140989;0,02840177;-0,1322177;0,9674056;-0,0003420589;-0,1082244;0,2088767;0,1356875;-0,1870265;0,001193207;0,9729381
66;-0,0319759;0,1960584;0,3167603;-0,09326723;0,04278169;0,07539824;0,9918599;0,1803229;0,1983489;0,2488967;-0,2195261;0,02002947;-0,142562;0,9649265;-0,0003377653;-0,1085472;0,2095848;0,1358297;-0,1892586;0,001069556;0,9724867
67;-0,03142739;0,1966217;0,3160219;-0,1001189;0,04416957;0,0737005;0,9912586;0,1803099;0,1976856;0,2478363;-0,2166738;0,01985641;-0,1408132;0,9658312;-0,0003335107;-0,1088671;0,2102866;0,1359698;-0,1914668;0,0009471809;0,9720349
