timestamp;AR_x;AR_y;AR_z;AR_ang_x;AR_ang_y;AR_ang_z;AR_ang_w;Distancia;HAP_x;HAP_y;HAP_z;HAP_ang_x;HAP_ang_y;HAP_ang_z;HAP_ang_w
09:53:00.204;-2,930222;4,209476;-44,85431;0,4009481;0,2381513;-0,02495737;0,8842521;22,45687;-23,22086;11,37089;-51,28198;0,2556989;0,9578217;0,1297411;0,01905016
09:53:00.276;-1,876978;4,157236;-45,95026;0,4014719;0,2387017;-0,02433369;0,8838834;19,70453;-19,63374;10,71329;-51,42604;0,259381;0,9567168;0,1309259;0,01652375
09:53:00.347;-0,08553505;4,952599;-44,57547;0,3996021;0,2420285;-0,02709381;0,8837457;19,27914;-17,07751;10,60469;-51,71773;0,2657766;0,954877;0,1315886;0,01603948
09:53:00.415;1,852954;5,674711;-43,32111;0,3989622;0,2404277;-0,01519231;0,8847558;19,31312;-14,54794;10,62345;-52,23836;0,2711356;0,9531866;0,1330947;0,01437205
09:53:00.485;3,715093;6,223814;-42,87421;0,3944212;0,2422114;-0,01320828;0,8863358;20,86358;-13,96744;10,68683;-53,00825;0,2727846;0,9528119;0,1327911;0,0102256
09:53:00.561;5,169589;6,278532;-44,24997;0,4008499;0,2484054;-0,02181713;0,8815544;22,44891;-14,14783;10,85873;-54,72912;0,2745127;0,9521366;0,1343845;0,004431807
09:53:00.631;5,685424;6,338507;-44,85852;0,4028838;0,2540072;-0,01252361;0,8792089;24,05746;-14,40205;11,24458;-57,15427;0,2764873;0,9510366;0,1381453;1,592686E-05
09:53:00.704;5,74849;6,326525;-45,80777;0,402255;0,2572651;-0,007617794;0,8786055;24,89787;-14,60378;11,76439;-59,07874;0,2789382;0,9501665;0,1391974;-0,001111563
09:53:00.775;5,672009;6,304947;-47,2822;0,4002745;0,2595493;-0,004355213;0,8788604;25,86802;-14,88097;12,48494;-61,72301;0,2812894;0,9495282;0,1387752;-0,003761783
09:53:00.846;5,485684;6,297962;-49,24686;0,3981048;0,2616096;-0,002714368;0,8792415;25,82529;-15,06294;12,83372;-63,45895;0,2835573;0,9488596;0,1386824;-0,005276859
09:53:00.929;5,17855;6,401182;-50,96365;0,3957209;0,2631358;-0,0007975497;0,8798658;27,42657;-15,48573;13,61317;-67,49216;0,2873527;0,9485659;0,1325826;-0,008549197
09:53:00.998;4,691295;6,789312;-53,77438;0,3962993;0,2672702;0,001137121;0,8783576;27,1014;-15,7482;14,10839;-69,99609;0,2889267;0,9491333;0,1247293;-0,01048954
09:53:01.067;4,167903;7,410065;-56,6181;0,3977489;0,2713837;0,002475226;0,8764363;26,9921;-16,06054;14,60822;-72,97567;0,2905061;0,9492471;0,1199655;-0,01201901
09:53:01.142;3,683759;8,148241;-59,36465;0,4006096;0,2734588;0,002654959;0,8744857;26,47423;-16,30556;15,00087;-75,31311;0,2919697;0,9492781;0,1161893;-0,01118197
09:53:01.217;3,397494;8,94186;-61,98541;0,4033118;0,2736022;0,00420147;0,8731918;26,14651;-16,55328;15,21919;-77,67622;0,2934524;0,9494802;0,1107903;-0,009932855
09:53:01.288;3,283317;9,623888;-64,90924;0,4037931;0,2740788;0,004735128;0,872817;25,8272;-16,8112;15,22565;-80,13669;0,296962;0,9481499;0,1127157;-0,01097692
09:53:01.362;3,199405;9,933403;-67,04178;0,3987655;0,2739461;0,008327338;0,8751401;25,93372;-17,04376;15,25047;-82,35519;0,3056581;0,9446264;0,118663;-0,01316545
09:53:01.432;3,280108;9,797073;-68,58167;0,3889594;0,2745689;0,01572418;0,879247;27,16816;-17,41488;15,48487;-85,23926;0,3197935;0,9387857;0,1272058;-0,01523931
09:53:01.500;3,578618;9,430693;-70,36722;0,3764981;0,2763673;0,02379325;0,8839141;27,855;-17,68104;16,04142;-87,10719;0,3294003;0,9349872;0,1305411;-0,01591898
09:53:01.568;3,78744;9,148371;-71,89053;0,3651067;0,2776223;0,03265217;0,8880072;29,23347;-18,09019;16,94799;-89,64247;0,3371679;0,9318248;0,1332266;-0,0164653
09:53:01.638;3,910596;8,8995;-73,59402;0,3576732;0,2787385;0,03924785;0,8904125;29,65328;-18,32884;17,51699;-91,214;0,3407608;0,9304273;0,1338845;-0,01619234
09:53:01.710;4,047788;8,643415;-75,51706;0,3524247;0,2797366;0,04367844;0,8919845;30,49578;-18,63971;18,3294;-93,44614;0,3452586;0,9285173;0,135577;-0,01645866
09:53:01.781;4,048318;8,399736;-77,26654;0,3482747;0,2802432;0,04671171;0,8933009;30,86741;-18,82221;18,88948;-95,14673;0,3479325;0,9274101;0,136453;-0,01530041
09:53:01.850;4,14545;8,231674;-78,866;0,3450571;0,2797379;0,05006014;0,8945258;32,0637;-19,10001;19,70705;-97,73516;0,3525051;0,925554;0,1374628;-0,01392779
09:53:01.922;4,356229;8,151527;-80,66968;0,342243;0,2791801;0,05316266;0,8956015;32,60832;-19,29025;20,36927;-99,50777;0,3551111;0,9244354;0,1383236;-0,01349072
09:53:01.992;4,58612;8,182859;-82,76996;0,3403575;0,2786823;0,05634749;0,8962801;32,99852;-19,48888;20,97973;-101,3586;0,3571747;0,9238799;0,1367693;-0,0129002
09:53:02.055;4,575131;8,284451;-84,6915;0,3392162;0,278418;0,05815478;0,8966794;32,56665;-19,46729;21,04189;-102,5743;0,3578639;0,9237312;0,1360067;-0,0125037
09:53:02.130;4,529864;8,367062;-86,22397;0,3383996;0,2773216;0,05880287;0,8972852;32,70464;-19,11008;20,93739;-105,0052;0,358689;0,9229603;0,139057;-0,01223131
09:53:02.198;4,747214;8,429819;-87,79544;0,3385006;0,2766487;0,05842611;0,8974794;32,6877;-18,54806;20,80421;-107,1006;0,3588966;0,922747;0,1400384;-0,01097938
09:53:02.269;5,050485;8,761488;-89,36392;0,3398259;0,2760623;0,0579974;0,8971869;33,33118;-18,14137;20,5895;-110,1775;0,3606362;0,9224991;0,137244;-0,01005694
09:53:02.337;5,342029;9,348965;-91,48151;0,3418127;0,2763016;0,05641712;0,896459;32,89135;-17,69154;20,47615;-112,1571;0,3613532;0,9227809;0,1334741;-0,009159993
09:53:02.413;5,693496;10,10231;-93,62244;0,3437519;0,2763538;0,05525189;0,8957736;32,57866;-17,30368;20,79538;-114,0713;0,3613807;0,9235368;0,1280459;-0,009384695
09:53:02.495;6,041062;10,77559;-95,49533;0,3455555;0,2763547;0,0544537;0,8951281;33,00121;-17,47624;21,50898;-116,009;0,3625995;0,9230836;0,1277251;-0,01116186
09:53:02.564;6,290195;11,3596;-97,62564;0,3472563;0,2768784;0,05452256;0,8943035;32,83507;-17,60189;22,10635;-117,42;0,3629322;0,9230964;0,1266781;-0,0112191
09:53:02.632;6,339118;11,78594;-99,48956;0,3487954;0,27772;0,05510052;0,8934077;32,70238;-17,72421;22,63762;-118,7935;0,3631084;0,923464;0,1233373;-0,01243098
09:53:02.702;6,225293;12,05675;-101,0035;0,3500522;0,2791052;0,05556567;0,8924552;32,63834;-17,83605;23,17295;-120,0494;0,3632793;0,9234179;0,1230185;-0,01392672
09:53:02.771;6,001727;12,14413;-102,2976;0,3506141;0,2804924;0,05536313;0,8918121;33,34359;-18,03384;23,7705;-122,2705;0,3641877;0,9230978;0,1225979;-0,01508211
09:53:02.839;5,885623;12,2072;-103,5162;0,3510801;0,2810146;0,05592604;0,8914291;33,54521;-18,15204;24,2157;-123,5977;0,3649335;0,9228261;0,1223778;-0,01546649
09:53:02.908;5,818679;12,26396;-104,8158;0,3510876;0,2816189;0,05658732;0,8911937;33,90697;-18,28318;24,85501;-125,0704;0,365755;0,9225292;0,1221091;-0,01589575
09:53:02.984;5,705956;12,27557;-106,0779;0,3511988;0,2826639;0,05679814;0,8908055;34,08416;-18,39243;25,39742;-126,2971;0,3661549;0,922483;0,1211601;-0,01660992
09:53:03.053;5,511167;12,26802;-107,3622;0,3515783;0,2836196;0,05698084;0,8903403;34,22298;-18,49774;26,05469;-127,4797;0,3675337;0,922148;0,1195177;-0,01666302
09:53:03.122;5,337335;12,24316;-108,5324;0,3516658;0,2843274;0,05725626;0,8900623;34,07973;-18,5599;26,54041;-128,1777;0,3679782;0,9220536;0,1188647;-0,01674624
09:53:03.191;5,159966;12,13154;-109,7346;0,3517596;0,2855255;0,05786318;0,8896023;33,42015;-18,64939;26,57414;-128,2125;0,3679364;0,9225449;0,1151652;-0,01645351
09:53:03.260;5,036557;12,05611;-110,3689;0,352009;0,2859097;0,05818339;0,8893594;32,85639;-18,6342;26,43932;-128,0427;0,3678962;0,9226349;0,1146026;-0,01623579
09:53:03.330;5,039641;12,11629;-110,5841;0,3524895;0,2851807;0,05885869;0,8893586;31,687;-18,53498;25,5698;-126,9336;0,3678091;0,9232072;0,1104938;-0,01400588
09:53:03.399;5,141725;12,25865;-110,2535;0,3528915;0,2842832;0,0593062;0,8894569;30,56816;-18,47925;24,43702;-125,3582;0,3667774;0,9239262;0,1080961;-0,01224852
09:53:03.467;5,280845;12,38907;-109,2618;0,3521505;0,2831922;0,05904319;0,8901158;29,44236;-18,3716;22,99679;-123,2221;0,3656942;0,9240466;0,1107475;-0,01186022
09:53:03.541;5,355641;12,52036;-107,5948;0,3512231;0,2823539;0,05822969;0,8908018;29,49114;-18,26039;22,75609;-121,9906;0,3655946;0,92397;0,1117148;-0,01182702
09:53:03.612;5,369023;12,68024;-105,8572;0,3513277;0,2822962;0,05777724;0,8908083;29,27985;-18,22907;22,9684;-119,8068;0,3642242;0,9248847;0,1086978;-0,01066969
09:53:03.682;5,356715;12,85224;-104,3286;0,3519961;0,2826497;0,05859444;0,890379;28,91264;-18,38928;23,32077;-117,0753;0,3636985;0,9256628;0,1037679;-0,01019979
09:53:03.751;5,214063;12,87558;-102,7932;0,3530393;0,2843498;0,05920717;0,8893835;28,30622;-19,03642;23,46613;-112,8428;0,3612616;0,9272681;0,09752065;-0,01239423
09:53:03.821;4,811389;12,73436;-100,9384;0,3554816;0,2881305;0,05902708;0,8872032;28,4132;-19,62923;23,34453;-110,807;0,3603896;0,9276811;0,09635858;-0,01556573
09:53:03.889;3,962523;12,49233;-98,80075;0,3589351;0,2912901;0,05680789;0,8849229;28,63893;-20,5905;23,42226;-108,6939;0,3607525;0,9274616;0,09702348;-0,01609506
09:53:03.959;3,239762;12,22952;-96,4404;0,3609336;0,2916042;0,05764273;0,8839521;28,94947;-21,20198;23,45592;-107,1475;0,3617325;0,9272134;0,09607895;-0,01392032
09:53:04.030;2,771522;11,91165;-94,52991;0,3616631;0,2910496;0,05975139;0,8836966;29,09224;-22,38133;23,05138;-103,9956;0,3624791;0,9271006;0,09461734;-0,01187402
09:53:04.101;2,303729;11,54391;-92,36032;0,3608981;0,2904165;0,06054666;0,8841634;29,04496;-23,12516;22,29771;-101,379;0,3622689;0,9270025;0,09639655;-0,01163423
09:53:04.173;1,756886;11,04052;-89,76547;0,3591842;0,2897654;0,06088301;0,8850514;29,12924;-24,01224;21,54708;-98,37228;0,3621811;0,9264421;0,1019785;-0,01141044
09:53:04.246;1,185797;10,68719;-86,4751;0,358251;0,2875265;0,06357534;0,8859701;29,67218;-24,72107;21,13031;-96,48578;0,362;0,9263467;0,1034496;-0,01166347
09:53:04.316;0,7263508;10,45497;-83,64987;0,3575203;0,2856442;0,06586789;0,8867064;29,95719;-25,47447;20,61338;-94,03047;0,3655807;0,9247981;0,1048092;-0,01069313
09:53:04.385;0,4583731;10,23159;-81,96136;0,3553772;0,2855218;0,06715851;0,8875101;29,94176;-25,85258;20,24618;-92,15697;0,3691202;0,9233007;0,1055722;-0,01098018
09:53:04.463;0,07484913;9,982693;-79,65775;0,3529209;0,2861823;0,07013947;0,8880467;29,61326;-26,15964;19,62217;-89,44434;0,3710527;0,9224718;0,1060972;-0,01044761
09:53:04.531;-0,4256668;9,842739;-77,03683;0,3513457;0,286927;0,07390874;0,8881254;28,83917;-25,91117;19,03598;-86,9197;0,3718425;0,9221677;0,1060247;-0,009938374
09:53:04.602;-0,8421631;9,792667;-74,86667;0,3516699;0,288059;0,07524901;0,8875179;28,39303;-25,76237;18,8043;-85,06165;0,3717321;0,9223981;0,1043649;-0,01024757
09:53:04.675;-1,027045;9,850357;-72,96652;0,3533081;0,2891972;0,07667331;0,8863744;27,38201;-25,59426;18,11606;-81,79288;0,3709398;0,9232029;0,1000574;-0,009412818
09:53:04.748;-1,114784;10,04346;-71,22766;0,3554665;0,290268;0,07735872;0,885101;27,02444;-25,89794;17,46794;-79,03746;0,3699339;0,923906;0,09715291;-0,0103971
09:53:04.819;-1,203066;10,08296;-70,0376;0,3570492;0,2923091;0,0744755;0,8840389;26,82546;-26,20811;16,99299;-76,86436;0,3679934;0,9247636;0,09619643;-0,01180905
09:53:04.897;-1,69024;10,15199;-66,4082;0,3621532;0,2925768;0,07388491;0,8819212;27,01957;-26,73561;16,69434;-74,15315;0,3671829;0,9251693;0,0951349;-0,01370832
09:53:04.965;-2,255546;10,24593;-64,3306;0,364334;0,2938831;0,07289632;0,88067;27,06045;-27,39822;16,65425;-72,0148;0,3662252;0,9255839;0,09443274;-0,01600019
09:53:05.031;-2,842197;10,27434;-62,39856;0,3661219;0,294826;0,07251873;0,8796439;27,13798;-28,43599;16,79819;-68,63291;0,3650572;0,9263162;0,09144825;-0,01757421
09:53:05.101;-3,515221;10,04024;-60,63968;0,3670155;0,296297;0,07136238;0,8788715;26,75838;-28,72971;17,02755;-66,24485;0,3631825;0,9269887;0,09179036;-0,019104
09:53:05.175;-4,360047;9,59025;-58,6088;0,3685512;0,2982395;0,06998935;0,8776814;25,61854;-28,35699;16,96292;-63,71758;0,3613488;0,927702;0,0916041;-0,02012065
09:53:05.249;-5,185883;9,116543;-57,06213;0,3704347;0,3012954;0,06669971;0,8760995;24,5615;-27,99394;16,85608;-61,87455;0,3598913;0,9280789;0,09326213;-0,02121229
09:53:05.323;-5,732768;8,718288;-55,48239;0,3717037;0,3027979;0,06414572;0,8752344;24,01994;-27,74825;16,83038;-60,62731;0,359474;0,9281062;0,09435467;-0,02223771
09:53:05.391;-5,890101;8,344107;-54,14447;0,3719915;0,3037103;0,06275933;0,8748964;23,30592;-27,30906;16,48679;-58,3978;0,3577548;0,9288617;0,0935505;-0,02181228
09:53:05.458;-5,863257;8,003679;-52,90982;0,3719508;0,3037173;0,06246017;0,8749327;22,92882;-26,9564;16,1974;-56,60754;0,3570051;0,9291684;0,09338775;-0,02172969
09:53:05.526;-5,659556;7,661583;-51,25278;0,3722978;0,3043145;0,06071173;0,8747007;22,88045;-26,64461;15,96307;-55,02473;0,3557076;0,9295645;0,09418177;-0,02262052
09:53:05.594;-5,689955;7,323502;-49,9642;0,3720612;0,3067731;0,05740709;0,8741655;22,50449;-26,30103;15,7281;-53,28056;0,3540833;0,9297828;0,09696994;-0,02694123
09:53:05.665;-5,917089;6,955423;-48,79221;0,37131;0,3105828;0,05403874;0,8733539;22,29765;-26,11446;15,71389;-52,33346;0,3526373;0,9299499;0,09955416;-0,03048289
09:53:05.733;-6,230421;6,579063;-47,728;0,3711313;0,3133537;0,05202542;0,8725621;22,17612;-26,06316;15,96835;-50,93491;0,3517869;0,9300596;0,100288;-0,03431583
09:53:05.803;-6,527664;6,264046;-47,16669;0,371168;0,317404;0,04884157;0,8712655;22,17344;-26,24626;16,16809;-49,34578;0,3510567;0,9303971;0,09872255;-0,03707347
09:53:05.870;-6,997804;6,008379;-45,93942;0,3724683;0,320673;0,04712404;0,8696066;21,99406;-26,38367;16,26504;-47,59097;0,350242;0,9308248;0,09680706;-0,03904001
09:53:05.943;-7,470517;5,686033;-45,35922;0,3734191;0,3224457;0,04544945;0,8686318;21,35578;-26,10404;16,11369;-45,71289;0,3489726;0,9313885;0,09590474;-0,03919139
09:53:06.011;-7,787888;5,423658;-44,34103;0,3742172;0,3228771;0,04499714;0,8681516;20,89678;-25,80989;15,98625;-43,78032;0,3477528;0,9319786;0,09458619;-0,03921078
