timestamp,success,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
1678301088.9589,True,-3.90051783528345,-8.97524679435558,58.2679032733682,0.3099151,0.7614881,-0.4240375,-0.379843
1678301089.02373,True,-4.82689194001915,-9.30911734421303,58.0634781814175,0.3128015,0.7631107,-0.4234418,-0.3748526
1678301089.08756,True,-5.85673618372718,-9.7302401887367,57.8334785628754,0.3152147,0.7637247,-0.4240767,-0.3708413
1678301089.15139,True,-6.93679541671016,-10.3379915122672,57.7264732325035,0.3173257,0.7621067,-0.4268708,-0.36916
1678301089.23018,True,-8.00252220773108,-11.1554368813975,57.4131881665071,0.3182714,0.7628393,-0.4244285,-0.3696485
1678301089.295,True,-9.06583075881188,-12.1374260088078,57.1855204510723,0.3197675,0.7597668,-0.4254129,-0.3735332
1678301089.35983,True,-10.0711792938296,-13.1385518066753,57.0057731845993,0.3255519,0.7539998,-0.4291075,-0.375988
1678301089.42267,True,-10.8640172077962,-14.0251424320285,56.7816797401341,0.3252642,0.7464037,-0.4353052,-0.3841798
1678301089.48749,True,-11.2694973720086,-14.6621404647878,56.6567166530214,0.318099,0.7371431,-0.4465079,-0.3950492
1678301089.55132,True,-11.343983763524,-14.9250828869352,56.7097121994661,0.3140386,0.7276316,-0.459792,-0.4006538
1678301089.6311,True,-11.1221411709138,-14.827224102368,56.7903254075451,0.310036,0.7224624,-0.4687045,-0.4027925
1678301089.69593,True,-10.7857542674764,-14.5476031095232,56.8756773817228,0.3032913,0.7213765,-0.4720086,-0.4060027
1678301089.75976,True,-10.4188598551076,-14.2018979979322,57.0223587528573,0.297388,0.7223785,-0.4721301,-0.4084395
1678301089.82375,True,-10.0282731707147,-13.8066590832159,57.1988302702385,0.2907466,0.7236109,-0.4716496,-0.4115829
1678301089.88658,True,-9.57031454841333,-13.3156343452697,57.4537118624342,0.2854378,0.7242062,-0.471394,-0.4145339
1678301089.95041,True,-9.03353626027715,-12.681626227723,57.7950657345991,0.2821561,0.7250417,-0.4698475,-0.4170681
1678301090.03091,True,-8.36322169108296,-12.0282598200173,58.0053358600365,0.2785344,0.7307335,-0.460687,-0.4197793
1678301090.09474,True,-7.54148565234459,-11.4332444462408,58.2815672814867,0.2795712,0.736423,-0.4512486,-0.4193993
1678301090.15957,True,-6.58535777174664,-10.8113775150393,58.2875335868645,0.2806054,0.7447082,-0.4386641,-0.4174255
1678301090.2234,True,-5.54924216412902,-10.1792869626859,58.5025280283104,0.2886218,0.7484803,-0.4319828,-0.4121476
1678301090.28782,True,-4.37435307243731,-9.65077791236258,58.9372508264741,0.2999937,0.7452438,-0.4374125,-0.4040864
