position_x,position_y,position_z,rotation_x,rotation_y,rotation_z
0,-65.51071,88.1142,0.965634,-0.2081565,0.03053911
0,-65.51071,88.1142,0.9645283,-0.2082022,0.03420481
0,-65.51071,88.1142,0.9638673,-0.208136,0.03461002
0,-65.51071,88.1142,0.9631301,-0.2079791,0.03554093
0,-65.51071,88.1142,0.962312,-0.2077244,0.03699632
0,-65.51071,88.1142,0.9613091,-0.2075081,0.03819067
0,-65.51071,88.1142,0.9601575,-0.2072598,0.03951623
0,-65.51071,88.1142,0.9598044,-0.2071836,0.03991359
0,-65.51071,88.1142,0.9594477,-0.2071067,0.0403108
0,-65.41871,87.86817,0.9581452,-0.2078476,0.04169757
0,-65.33955,87.70905,0.9578846,-0.2090455,0.04193816
0.03340868,-64.91544,87.103,0.9570602,-0.2127016,0.04206367
0.06819803,-63.80613,85.42418,0.9548661,-0.223839,0.04150993
0.07006489,-62.54276,83.15414,0.9522813,-0.235604,0.04047326
0.07156026,-60.90472,81.33585,0.949981,-0.2462721,0.03942587
0.03651775,-58.86402,79.542,0.9480507,-0.2538384,0.03918108
0.03730885,-56.87672,77.61813,0.9471119,-0.2578169,0.03872105
0.0381158,-55.27143,75.65569,0.9462029,-0.2612985,0.03871562
0.03893904,-53.99548,73.65365,0.9454915,-0.2632443,0.03913095
0.03983266,-52.97911,71.48045,0.9447104,-0.2657104,0.03908416
0.04080123,-52.21365,69.12495,0.9438843,-0.2684709,0.03950719
0.04178791,-51.48669,66.72543,0.9433028,-0.2708579,0.03866205
0.08530086,-50.70862,64.62788,0.9427562,-0.2727086,0.03768338
0.08720037,-49.90484,62.31816,0.9423834,-0.2735645,0.03727123
0.08922203,-49.24266,59.85991,0.9419219,-0.2749482,0.03636444
0.09123843,-48.61336,57.40805,0.9416527,-0.2758293,0.03577164
0.09306818,-48.10586,55.18316,0.9414508,-0.275824,0.03580979
0.1420327,-47.78423,53.213,0.9419388,-0.2739362,0.03508237
0.1925941,-47.81134,51.25709,0.9425514,-0.2716567,0.03536428
